"year_month","product_category_en","price_bucket","order_count","total_revenue","avg_price","updated_at"
"2017-02","toys","C. 150-500",4,858.69,214.6725,"2026-05-28 10:53:44"
"2017-02","toys","D. 500+",4,4478.79,1119.6975,"2026-05-28 10:53:44"
"2017-02","watches_gifts","A. 0-50",8,239.6,29.95,"2026-05-28 10:53:44"
"2017-02","watches_gifts","B. 50-150",5,668.6,133.72,"2026-05-28 10:53:44"
"2017-02","watches_gifts","C. 150-500",15,3950.79,263.386,"2026-05-28 10:53:44"
"2017-02","watches_gifts","D. 500+",5,6133.4,1226.6799999999998,"2026-05-28 10:53:44"
"2017-03","","A. 0-50",30,1019.48,33.98266666666667,"2026-05-28 10:53:44"
"2017-03","","B. 50-150",19,1902.94,100.15473684210527,"2026-05-28 10:53:44"
"2017-03","","C. 150-500",10,2534.85,253.48499999999999,"2026-05-28 10:53:44"
"2017-03","","D. 500+",1,999.9,999.9,"2026-05-28 10:53:44"
"2017-03","agro_industry_and_commerce","A. 0-50",1,22,22,"2026-05-28 10:53:44"
"2017-03","agro_industry_and_commerce","B. 50-150",1,59.99,59.99,"2026-05-28 10:53:44"
"2017-03","air_conditioning","B. 50-150",11,694,63.09090909090909,"2026-05-28 10:53:44"
"2017-03","air_conditioning","C. 150-500",3,949.9,316.6333333333333,"2026-05-28 10:53:44"
"2017-03","air_conditioning","D. 500+",3,2459.91,819.9699999999999,"2026-05-28 10:53:44"
"2017-03","art","A. 0-50",4,113.65,28.4125,"2026-05-28 10:53:44"
"2017-03","art","B. 50-150",1,109.6,109.6,"2026-05-28 10:53:44"
"2017-03","audio","A. 0-50",4,149.97,37.4925,"2026-05-28 10:53:44"
"2017-03","audio","B. 50-150",8,604.8,75.6,"2026-05-28 10:53:44"
"2017-03","audio","C. 150-500",2,380,190,"2026-05-28 10:53:44"
"2017-03","auto","A. 0-50",17,441.71,25.982941176470586,"2026-05-28 10:53:44"
"2017-03","auto","B. 50-150",40,4767.32,119.18299999999999,"2026-05-28 10:53:44"
"2017-03","auto","C. 150-500",18,4640,257.77777777777777,"2026-05-28 10:53:44"
"2017-03","auto","D. 500+",4,3698.9,924.725,"2026-05-28 10:53:44"
"2017-03","baby","A. 0-50",14,409.28,29.23428571428571,"2026-05-28 10:53:44"
"2017-03","baby","B. 50-150",25,2297.02,91.8808,"2026-05-28 10:53:44"
"2017-03","baby","C. 150-500",4,897.88,224.47,"2026-05-28 10:53:44"
"2017-03","bed_bath_table","A. 0-50",80,2307.79,28.847375,"2026-05-28 10:53:44"
"2017-03","bed_bath_table","B. 50-150",181,17052.420000000002,94.21226519337017,"2026-05-28 10:53:44"
"2017-03","bed_bath_table","C. 150-500",27,5578.25,206.60185185185185,"2026-05-28 10:53:44"
"2017-03","bed_bath_table","D. 500+",1,834.56,834.56,"2026-05-28 10:53:44"
"2017-03","books_general_interest","A. 0-50",3,63.56,21.186666666666667,"2026-05-28 10:53:44"
"2017-03","books_general_interest","B. 50-150",21,2470.4,117.63809523809525,"2026-05-28 10:53:44"
"2017-03","books_technical","A. 0-50",2,75,37.5,"2026-05-28 10:53:44"
"2017-03","computers_accessories","A. 0-50",86,2429.97,28.25546511627907,"2026-05-28 10:53:44"
"2017-03","computers_accessories","B. 50-150",45,4161.71,92.48244444444444,"2026-05-28 10:53:44"
"2017-03","computers_accessories","C. 150-500",31,6628.05,213.80806451612904,"2026-05-28 10:53:44"
"2017-03","computers_accessories","D. 500+",10,14908.97,1490.897,"2026-05-28 10:53:44"
"2017-03","consoles_games","A. 0-50",9,281.25,31.25,"2026-05-28 10:53:44"
"2017-03","consoles_games","B. 50-150",17,1592.02,93.64823529411764,"2026-05-28 10:53:44"
"2017-03","consoles_games","C. 150-500",17,5370.2,315.8941176470588,"2026-05-28 10:53:44"
"2017-03","consoles_games","D. 500+",4,2590.5699999999997,647.6424999999999,"2026-05-28 10:53:44"
"2017-03","construction_tools_construction","A. 0-50",1,38.9,38.9,"2026-05-28 10:53:44"
"2017-03","cool_stuff","A. 0-50",15,509.07,33.938,"2026-05-28 10:53:44"
"2017-03","cool_stuff","B. 50-150",71,7024.26,98.93323943661971,"2026-05-28 10:53:44"
"2017-03","cool_stuff","C. 150-500",27,7533.78,279.0288888888889,"2026-05-28 10:53:44"
"2017-03","cool_stuff","D. 500+",8,5798.2,724.775,"2026-05-28 10:53:44"
"2017-03","drinks","A. 0-50",2,29.98,14.99,"2026-05-28 10:53:44"
